elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m,wall_utc_s,yaw_rate_rps,vel_north_mps,vel_east_mps,vel_down_mps,vel_age_s,waypoint_index,cross_track_error_m,distance_to_waypoint_m,distance_remaining_m,cumulative_distance_m,waypoints_remaining,exec_age_s
1.161409644,39.0000052,-76.5,2.107967775e-13,1.049930669,0,60,1785408820.199259,-3.665422108e-13,1.049930669,2.213220017e-13,0,5.2264e-05,0,1.044332143e-10,99.42257616,959.9999986,0.5774238234,8,4.3406e-05
1.211992582,39.0000057,-76.5,1.713618323e-13,1.099917012,0,60,1785408820.2498362,-7.889143888e-13,1.099917012,1.884837946e-13,0,4.6057e-05,0,3.68777501e-11,99.36759533,959.9999986,0.6324046517,8,3.8559e-05
1.262541116,39.00000622,-76.5,1.284808978e-13,1.150166013,0,60,1785408820.3003635,-8.533688952e-13,1.150166013,1.47774362e-13,0,4.0463e-05,0,9.20630038e-11,99.30980064,959.9999986,0.6901993476,8,3.5193e-05
1.31308273,39.00000676,-76.5,7.027755545e-14,1.200069631,0,60,1785408820.3509424,-1.166315083e-12,1.200069631,8.433796004e-14,0,4.7538e-05,0,2.082514222e-10,99.24991282,959.9999986,0.7500871628,8,4.0292e-05
1.363688648,39.00000732,-76.5,-2.898096454e-14,1.249958289,0,60,1785408820.4015307,-1.989600923e-12,1.249958289,-3.622499684e-14,0,4.6591e-05,0,6.953156419e-11,99.18755408,959.9999986,0.812445904,8,3.9677e-05
1.41425653,39.00000791,-76.5,-1.33653298e-13,1.300238899,0,60,1785408820.452112,-2.081763397e-12,1.300238899,-1.73781217e-13,0,5.4482e-05,0,-4.882611784e-11,99.12217728,959.9999986,0.8778227086,8,4.6016e-05
1.464700468,39.00000851,-76.5,-2.134929703e-13,1.350029759,0,60,1785408820.5025506,-1.603500568e-12,1.350029759,-2.882218632e-13,0,5.1932e-05,0,-5.887596015e-11,99.05495814,959.9999986,0.9450418504,8,4.4605e-05
1.515290743,39.00000914,-76.5,-2.690805243e-13,1.399917974,0,60,1785408820.5531309,-1.114242192e-12,1.399917974,-3.766906624e-13,0,5.1689e-05,0,9.064863832e-11,98.98511873,957.9999986,1.01488126,8,4.5572e-05
1.565984399,39.00000979,-76.5,-3.37319438e-13,1.449915282,0,60,1785408820.6038601,-1.364851758e-12,1.449915282,-4.890846081e-13,0,6.9175e-05,0,1.252323555e-10,98.91262686,957.9999986,1.087373121,8,6.0045e-05
1.616689139,39.00001047,-76.5,-4.250854047e-13,1.500060282,0,60,1785408820.6545765,-1.750243627e-12,1.500060282,-6.37653732e-13,0,7.7006e-05,0,2.040071312e-11,98.83740634,957.9999986,1.162593644,8,6.7684e-05
1.667377611,39.00001117,-76.5,-5.051265464e-13,1.550055181,0,60,1785408820.7052364,-1.600986168e-12,1.550055181,-7.829740204e-13,0,5.5308e-05,0,-5.283496361e-11,98.75991149,957.9999986,1.240088496,8,4.4585e-05
1.718036803,39.00001189,-76.5,-5.608792717e-13,1.600028222,0,60,1785408820.7559412,-1.115656045e-12,1.600028222,-8.974226639e-13,0,8.6832e-05,0,-3.508666277e-11,98.67995321,957.9999986,1.320046771,8,7.6512e-05
1.768671321,39.00001263,-76.5,-5.985538762e-13,1.65010439,0,60,1785408820.806484,-7.523459958e-13,1.65010439,-9.876763787e-13,0,4.0503e-05,0,7.008253956e-11,98.59732231,957.9999986,1.402677677,8,3.4981e-05
1.8191902,39.00001419,-76.5,-7.200281555e-13,1.700060279,0,60,1785408820.8570123,-9.123716073e-13,1.700060279,-1.095063586e-12,0,5.0571e-05,0,1.698823699e-10,98.51239429,957.9999986,1.487605699,8,4.3476e-05
1.869726271,39.000015,-76.5,-7.565743221e-13,1.799927861,0,60,1785408820.9075348,-7.31388935e-13,1.799927861,-1.361779201e-12,0,3.9586e-05,0,-1.155866081e-10,98.42507233,957.9999986,1.574927659,8,3.4517e-05
1.920229281,39.00001583,-76.5,-8.060062543e-13,1.850016455,0,60,1785408820.9580448,-9.868899937e-13,1.850016455,-1.491124833e-12,0,4.1814e-05,0,9.268569888e-11,98.33513323,957.9999986,1.664866761,8,3.5585e-05
1.970770259,39.00001669,-76.5,-8.4315207e-13,1.900062403,0,60,1785408821.0086801,-7.42234229e-13,1.900062403,-1.602041548e-12,0,4.8606e-05,0,-8.057999731e-12,98.2424685,957.9999986,1.757531482,8,4.0975e-05
2.02117931,39.00001756,-76.5,-8.937014966e-13,1.949899215,0,60,1785408821.0590627,-1.014298961e-12,1.949899215,-1.742627847e-12,0,0.000111877,0,9.820081238e-11,98.14737808,957.9999986,1.852621909,8,0.000106726
2.071768401,39.00001846,-76.5,-9.445769709e-13,1.999883699,0,60,1785408821.1095846,-1.017825339e-12,1.999883699,-1.889044087e-12,0,4.0058e-05,0,4.690247604e-11,98.05020132,957.9999986,1.949798668,8,3.4201e-05
2.122299132,39.00001939,-76.5,-1.02260594e-12,2.049940769,0,60,1785408821.1601584,-1.558800171e-12,2.049940769,-2.096281607e-12,0,5.6085e-05,0,1.623864275e-10,97.95023816,957.9999986,2.049761824,8,4.659e-05
2.172893546,39.00002034,-76.5,-1.082027262e-12,2.100028066,0,60,1785408821.2107289,-1.186355129e-12,2.100028066,-2.272287618e-12,0,4.5874e-05,0,-2.0364259e-11,97.84762413,957.9999986,2.152375852,8,3.8979e-05
2.223487323,39.0000213,-76.5,-1.088250675e-12,2.149909615,0,60,1785408821.2613509,-1.247638299e-13,2.149909615,-2.33964059e-12,0,4.669e-05,0,-1.741718851e-10,97.7424394,957.9999986,2.257560581,8,3.9251e-05
2.274102669,39.0000223,-76.5,-1.099534193e-12,2.200053484,0,60,1785408821.311955,-2.250228773e-13,2.200053484,-2.419034031e-12,0,6.6376e-05,0,5.362647322e-11,97.63519858,957.9999986,2.364801403,8,5.9149e-05
2.324675549,39.00002331,-76.5,-1.088852939e-12,2.249892333,0,60,1785408821.3624816,2.143158252e-13,2.249892333,-2.449801878e-12,0,3.7709e-05,0,-5.955793945e-11,97.52487939,957.9999986,2.475120596,8,3.2296e-05
2.375240797,39.00002434,-76.5,-1.04706894e-12,2.300044789,0,60,1785408821.4131181,8.331396353e-13,2.300044789,-2.408305459e-12,0,6.9058e-05,0,-1.059113814e-10,97.41274734,957.9999986,2.587252641,8,6.0227e-05
2.425868962,39.0000254,-76.5,-1.031782261e-12,2.349938715,0,60,1785408821.4637144,3.063835652e-13,2.349938715,-2.42462508e-12,0,4.8354e-05,0,1.255839851e-10,97.29739445,957.9999986,2.702605537,8,4.0209e-05
2.476286161,39.00002648,-76.5,-1.050956774e-12,2.400018006,0,60,1785408821.514142,-3.828830761e-13,2.400018006,-2.522315181e-12,0,5.2839e-05,0,1.697699494e-10,97.18014678,957.9999986,2.819853205,8,4.4584e-05
2.526972591,39.00002758,-76.5,-1.083041614e-12,2.449903207,0,60,1785408821.5647833,-6.431735221e-13,2.449903207,-2.653347124e-12,0,3.9453e-05,0,9.229068711e-11,97.05995558,957.9999986,2.940044405,8,3.4473e-05
2.577532648,39.00002871,-76.5,-1.109623169e-12,2.499858378,0,60,1785408821.6154025,-5.32108179e-13,2.499858378,-2.773900776e-12,0,7.0499e-05,0,1.854599744e-11,96.93774167,955.9999986,3.062258318,8,6.2002e-05
