lat_deg,lon_deg,s_m,kappa_1pm,az_rad,leg_index
39,-76.5,0,-0.06981333333,0,0
39.00001802,-76.5,2,0,6.235012506e-13,0
39.00003603,-76.5,4,0,6.235012506e-13,0
39.00005405,-76.5,6,0,6.235012506e-13,0
39.00007206,-76.5,8,0,6.235012506e-13,0
39.00009008,-76.5,10,0,6.235012506e-13,0
39.00010809,-76.5,12,0,6.235012506e-13,0
39.00012611,-76.5,14,0,6.235012506e-13,0
39.00014412,-76.5,16,0,6.235012506e-13,0
39.00016214,-76.5,18,0,6.235012506e-13,0
39.00018016,-76.5,20,0,6.235012506e-13,0
39.00019817,-76.5,22,0,6.235012506e-13,0
39.00021619,-76.5,24,0,6.235012506e-13,0
39.0002342,-76.5,26,0,6.235012506e-13,0
39.00025222,-76.5,28,0,6.235012506e-13,0
39.00027023,-76.5,30,0,6.235012506e-13,0
39.00028825,-76.5,32,0,6.235012506e-13,0
39.00030626,-76.5,34,0,6.235012506e-13,0
39.00032428,-76.5,36,0,6.235012506e-13,0
39.00034229,-76.5,38,0,6.235012506e-13,0
39.00036031,-76.5,40,0,6.235012506e-13,0
39.00037833,-76.5,42,0,6.235012506e-13,0
39.00039634,-76.5,44,0,6.235012506e-13,0
39.00041436,-76.5,46,0,6.235012506e-13,0
39.00043237,-76.5,48,0,6.235012506e-13,0
39.00045039,-76.5,50,0,6.235012506e-13,0
39.0004684,-76.5,52,0,6.235012506e-13,0
39.00048642,-76.5,54,0,6.235012506e-13,0
39.00050443,-76.5,56,0,6.235012506e-13,0
39.00052245,-76.5,58,0,6.235012506e-13,0
39.00054047,-76.5,60,0,6.235012506e-13,0
39.00055848,-76.5,62,0,6.235012506e-13,0
39.0005765,-76.5,64,0,6.235012506e-13,0
39.00059451,-76.5,66,0,6.235012506e-13,0
39.00061253,-76.5,68,0,6.235012506e-13,0
39.00063054,-76.5,70,0,6.235012506e-13,0
39.00064856,-76.5,72,0,6.235012506e-13,0
39.00066657,-76.5,74,0,6.235012506e-13,0
39.00068459,-76.5,76,0,6.235012506e-13,0
39.0007026,-76.5,78,0,6.235012506e-13,0
39.00072062,-76.5,80,0,6.235012506e-13,0
39.00073864,-76.5,82,0,6.235012506e-13,0
39.00075665,-76.5,84,0,6.235012506e-13,0
39.00077467,-76.5,86,0,4.440892099e-16,0
39.00079268,-76.5,88,0,4.440892099e-16,0
39.0008107,-76.5,90,0,4.440892099e-16,0
39.00082871,-76.5,92,0,4.440892099e-16,0
39.00084673,-76.5,94,0,4.440892099e-16,0
39.00086474,-76.5,96,0,4.440892099e-16,0
39.00088276,-76.5,98,0,4.440892099e-16,0
39.00090078,-76.5,99.99999999,0,4.440892099e-16,0
39.00090078,-76.5,99.99999999,-0.06981333333,0,1
39.00091879,-76.5,102,0,1.80966353e-13,1
39.00093681,-76.5,104,0,1.80966353e-13,1
39.00095482,-76.5,106,0,1.80966353e-13,1
39.00097284,-76.5,108,0,1.80966353e-13,1
39.00099085,-76.5,110,0,1.80966353e-13,1
39.00100887,-76.5,112,0,1.80966353e-13,1
39.00102688,-76.5,114,0,1.80966353e-13,1
39.0010449,-76.5,116,0,1.80966353e-13,1
39.00106291,-76.5,118,0,1.80966353e-13,1
39.00108093,-76.5,120,0,1.80966353e-13,1
39.00109895,-76.5,122,0,1.80966353e-13,1
39.00111696,-76.5,124,0,1.80966353e-13,1
39.00113498,-76.5,126,0,1.80966353e-13,1
39.00115299,-76.5,128,0,1.80966353e-13,1
39.00117101,-76.5,130,0,1.80966353e-13,1
39.00118902,-76.5,132,0,1.80966353e-13,1
39.00120704,-76.5,134,0,1.80966353e-13,1
39.00122505,-76.5,136,0,1.80966353e-13,1
39.00124307,-76.5,138,0,1.80966353e-13,1
39.00126109,-76.5,140,0,1.80966353e-13,1
39.0012791,-76.5,142,0,1.80966353e-13,1
39.00129712,-76.5,144,0,1.80966353e-13,1
39.00131513,-76.5,146,0,1.80966353e-13,1
39.00133315,-76.5,148,0,1.80966353e-13,1
39.00135116,-76.5,150,0,1.80966353e-13,1
39.00136918,-76.5,152,0,1.80966353e-13,1
39.00138719,-76.5,154,0,1.80966353e-13,1
39.00140521,-76.5,156,0,1.80966353e-13,1
